nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kab. Tasikmalaya,-7.35,108.25,2014-01-01,26.8,22.8,24.3,12.3,12.3,18.0,4.0,9.27,1.94,98,84,4.0,91.0,6.340206185567011
Kab. Tasikmalaya,-7.35,108.25,2014-01-02,30.3,22.5,25.4,8.8,8.8,7.0,8.2,18.93,3.91,97,68,7.800000000000001,82.5,2.2506393861892584
Kab. Tasikmalaya,-7.35,108.25,2014-01-03,30.3,23.2,25.6,1.5,1.5,7.0,6.0,17.83,3.71,98,65,7.100000000000001,81.5,0.40431266846361186
Kab. Tasikmalaya,-7.35,108.25,2014-01-04,28.8,23.4,25.2,17.7,17.7,12.0,9.5,12.31,2.59,97,74,5.400000000000002,85.5,6.833976833976834
Kab. Tasikmalaya,-7.35,108.25,2014-01-05,30.3,22.6,25.2,19.2,19.2,13.0,8.3,17.42,3.61,98,71,7.699999999999999,84.5,5.3185595567867034
Kab. Tasikmalaya,-7.35,108.25,2014-01-06,29.6,22.4,24.9,6.0,6.0,18.0,6.4,10.21,2.19,99,73,7.200000000000003,86.0,2.73972602739726
Kab. Tasikmalaya,-7.35,108.25,2014-01-07,31.3,21.9,25.1,33.0,33.0,9.0,6.5,17.37,3.61,98,67,9.400000000000002,82.5,9.141274238227147
Kab. Tasikmalaya,-7.35,108.25,2014-01-08,27.3,22.5,24.2,15.5,15.5,21.0,3.9,14.18,2.91,100,81,4.800000000000001,90.5,5.326460481099656
Kab. Tasikmalaya,-7.35,108.25,2014-01-09,31.2,22.1,26.0,8.2,8.2,6.0,8.8,21.43,4.47,99,65,9.099999999999998,82.0,1.8344519015659955
Kab. Tasikmalaya,-7.35,108.25,2014-01-10,30.6,23.1,25.9,4.2,4.2,5.0,8.0,17.9,3.79,96,65,7.5,80.5,1.108179419525066
Kab. Tasikmalaya,-7.35,108.25,2014-01-11,30.8,22.4,25.8,18.1,18.1,9.0,5.9,16.91,3.58,99,68,8.400000000000002,83.5,5.05586592178771
Kab. Tasikmalaya,-7.35,108.25,2014-01-12,29.9,22.4,24.5,28.4,28.4,12.0,7.2,14.41,2.93,99,69,7.5,84.0,9.692832764505118
Kab. Tasikmalaya,-7.35,108.25,2014-01-13,27.1,22.8,24.6,24.3,24.3,24.0,4.1,5.28,1.27,100,81,4.300000000000001,90.5,19.133858267716537
Kab. Tasikmalaya,-7.35,108.25,2014-01-14,29.3,22.5,25.3,18.2,18.2,13.0,7.2,16.39,3.43,99,73,6.800000000000001,86.0,5.3061224489795915
Kab. Tasikmalaya,-7.35,108.25,2014-01-15,28.7,22.5,25.0,14.0,14.0,12.0,5.8,15.7,3.25,99,72,6.199999999999999,85.5,4.3076923076923075
Kab. Tasikmalaya,-7.35,108.25,2014-01-16,28.6,22.8,25.0,30.9,30.9,17.0,4.9,15.81,3.26,99,76,5.800000000000001,87.5,9.478527607361963
Kab. Tasikmalaya,-7.35,108.25,2014-01-17,26.1,22.4,24.2,26.4,26.4,19.0,7.3,7.5,1.6,100,83,3.700000000000003,91.5,16.499999999999996
Kab. Tasikmalaya,-7.35,108.25,2014-01-18,26.3,22.6,24.0,12.1,12.1,22.0,7.1,7.75,1.66,99,81,3.6999999999999993,90.0,7.289156626506024
Kab. Tasikmalaya,-7.35,108.25,2014-01-19,28.4,21.9,24.3,11.6,11.6,11.0,11.2,15.12,3.05,98,73,6.5,85.5,3.8032786885245904
Kab. Tasikmalaya,-7.35,108.25,2014-01-20,27.0,21.7,24.3,8.8,8.8,16.0,7.2,14.47,2.93,98,75,5.300000000000001,86.5,3.0034129692832767
Kab. Tasikmalaya,-7.35,108.25,2014-01-21,25.9,22.0,23.7,13.9,13.9,9.0,7.6,8.15,1.68,99,88,3.8999999999999986,93.5,8.273809523809524
Kab. Tasikmalaya,-7.35,108.25,2014-01-22,29.1,21.6,24.8,9.1,9.1,9.0,7.3,15.73,3.26,99,68,7.5,83.5,2.791411042944785
Kab. Tasikmalaya,-7.35,108.25,2014-01-23,25.4,22.5,23.7,5.6,5.6,11.0,7.7,9.37,1.97,100,80,2.8999999999999986,90.0,2.842639593908629
Kab. Tasikmalaya,-7.35,108.25,2014-01-24,27.7,22.0,24.2,4.1,4.1,11.0,6.8,14.39,2.93,98,71,5.699999999999999,84.5,1.3993174061433444
Kab. Tasikmalaya,-7.35,108.25,2014-01-25,28.5,21.3,24.5,4.7,4.7,9.0,5.7,20.16,4.03,100,67,7.199999999999999,83.5,1.1662531017369726
Kab. Tasikmalaya,-7.35,108.25,2014-01-26,29.2,21.6,25.3,2.9,2.9,7.0,4.7,19.07,3.91,98,72,7.599999999999998,85.0,0.7416879795396419
Kab. Tasikmalaya,-7.35,108.25,2014-01-27,29.7,22.5,25.3,9.4,9.4,8.0,5.4,18.44,3.79,98,68,7.199999999999999,83.0,2.480211081794195
Kab. Tasikmalaya,-7.35,108.25,2014-01-28,27.1,23.2,24.6,21.3,21.3,16.0,5.1,11.93,2.43,99,85,3.900000000000002,92.0,8.765432098765432
Kab. Tasikmalaya,-7.35,108.25,2014-01-29,27.5,22.4,24.8,11.2,11.2,7.0,8.0,15.36,3.1,100,71,5.100000000000001,85.5,3.612903225806451
Kab. Tasikmalaya,-7.35,108.25,2014-01-30,29.4,22.8,25.3,7.4,7.4,7.0,5.3,16.85,3.5,98,68,6.599999999999998,83.0,2.1142857142857143
Kab. Tasikmalaya,-7.35,108.25,2014-01-31,28.9,23.0,25.1,6.0,6.0,8.0,6.8,17.56,3.59,100,71,5.899999999999999,85.5,1.6713091922005572
Kab. Tasikmalaya,-7.35,108.25,2014-02-01,30.2,22.4,25.6,13.3,13.3,12.0,5.1,18.89,3.91,100,66,7.800000000000001,83.0,3.40153452685422
Kab. Tasikmalaya,-7.35,108.25,2014-02-02,27.0,22.9,24.5,8.1,8.1,8.0,7.0,13.38,2.72,99,82,4.100000000000001,90.5,2.977941176470588
Kab. Tasikmalaya,-7.35,108.25,2014-02-03,29.2,22.1,24.8,16.7,16.7,8.0,7.0,15.63,3.19,100,77,7.099999999999998,88.5,5.235109717868339
Kab. Tasikmalaya,-7.35,108.25,2014-02-04,28.2,22.7,25.0,17.8,17.8,16.0,6.1,11.72,2.47,99,81,5.5,90.0,7.206477732793522
Kab. Tasikmalaya,-7.35,108.25,2014-02-05,29.4,23.0,25.7,6.1,6.1,9.0,7.4,15.63,3.24,99,70,6.399999999999999,84.5,1.8827160493827158
Kab. Tasikmalaya,-7.35,108.25,2014-02-06,29.1,23.3,25.5,25.7,25.7,11.0,5.7,17.25,3.55,99,70,5.800000000000001,84.5,7.23943661971831
Kab. Tasikmalaya,-7.35,108.25,2014-02-07,30.3,23.5,25.9,11.2,11.2,14.0,4.3,14.75,3.14,97,69,6.800000000000001,83.0,3.5668789808917194
Kab. Tasikmalaya,-7.35,108.25,2014-02-08,28.3,23.6,25.3,29.0,29.0,18.0,4.8,10.28,2.22,99,81,4.699999999999999,90.0,13.063063063063062
Kab. Tasikmalaya,-7.35,108.25,2014-02-09,29.1,23.1,25.3,22.2,22.2,21.0,11.8,13.65,2.83,99,77,6.0,88.0,7.84452296819788
Kab. Tasikmalaya,-7.35,108.25,2014-02-10,30.4,23.0,25.5,24.5,24.5,17.0,7.4,15.52,3.25,98,70,7.399999999999999,84.0,7.538461538461538
Kab. Tasikmalaya,-7.35,108.25,2014-02-11,30.2,23.0,25.8,9.0,9.0,7.0,4.7,16.53,3.46,99,68,7.199999999999999,83.5,2.601156069364162
Kab. Tasikmalaya,-7.35,108.25,2014-02-12,31.6,23.2,26.9,0.9,0.9,2.0,9.2,21.91,4.64,99,60,8.400000000000002,79.5,0.19396551724137934
Kab. Tasikmalaya,-7.35,108.25,2014-02-13,31.3,22.5,26.8,0.9,0.9,6.0,5.4,23.03,4.81,97,62,8.8,79.5,0.18711018711018712
Kab. Tasikmalaya,-7.35,108.25,2014-02-14,30.1,23.5,26.4,6.9,6.9,10.0,5.5,16.97,3.59,97,67,6.600000000000001,82.0,1.9220055710306407
Kab. Tasikmalaya,-7.35,108.25,2014-02-15,27.5,23.0,24.7,20.9,20.9,15.0,5.4,14.4,2.98,99,77,4.5,88.0,7.013422818791946
Kab. Tasikmalaya,-7.35,108.25,2014-02-16,30.3,22.4,25.1,10.4,10.4,7.0,5.2,19.63,4.05,96,66,7.900000000000002,81.0,2.5679012345679015
Kab. Tasikmalaya,-7.35,108.25,2014-02-17,29.9,21.7,25.7,0.7,0.7,4.0,5.8,16.76,3.52,97,66,8.2,81.5,0.19886363636363635
Kab. Tasikmalaya,-7.35,108.25,2014-02-18,29.8,22.9,25.6,12.4,12.4,13.0,4.7,15.81,3.33,99,64,6.900000000000002,81.5,3.7237237237237237
Kab. Tasikmalaya,-7.35,108.25,2014-02-19,29.1,22.8,25.4,2.8,2.8,9.0,5.3,16.63,3.44,98,72,6.300000000000001,85.0,0.813953488372093
Kab. Tasikmalaya,-7.35,108.25,2014-02-20,30.5,23.2,25.8,7.0,7.0,12.0,4.5,20.37,4.2,98,65,7.300000000000001,81.5,1.6666666666666665
Kab. Tasikmalaya,-7.35,108.25,2014-02-21,29.6,22.6,25.5,8.4,8.4,9.0,5.7,17.24,3.55,98,70,7.0,84.0,2.366197183098592
Kab. Tasikmalaya,-7.35,108.25,2014-02-22,27.8,22.5,24.1,49.4,49.4,14.0,5.8,13.14,2.73,99,79,5.300000000000001,89.0,18.095238095238095
Kab. Tasikmalaya,-7.35,108.25,2014-02-23,28.1,22.4,24.5,33.2,33.2,24.0,8.9,9.71,2.14,98,75,5.700000000000003,86.5,15.514018691588786
Kab. Tasikmalaya,-7.35,108.25,2014-02-24,29.5,22.1,24.4,25.9,25.9,20.0,7.0,12.19,2.57,99,67,7.399999999999999,83.0,10.077821011673151
Kab. Tasikmalaya,-7.35,108.25,2014-02-25,29.4,21.8,25.0,20.9,20.9,12.0,7.2,16.13,3.34,94,69,7.599999999999998,81.5,6.25748502994012
Kab. Tasikmalaya,-7.35,108.25,2014-02-26,27.9,23.0,24.9,24.1,24.1,15.0,6.3,17.15,3.46,96,76,4.899999999999999,86.0,6.965317919075145
Kab. Tasikmalaya,-7.35,108.25,2014-02-27,28.7,22.7,25.3,4.3,4.3,9.0,9.0,17.46,3.53,97,75,6.0,86.0,1.2181303116147308
Kab. Tasikmalaya,-7.35,108.25,2014-02-28,29.8,22.7,25.5,9.0,9.0,8.0,7.1,20.82,4.23,97,68,7.100000000000001,82.5,2.127659574468085
Kab. Tasikmalaya,-7.35,108.25,2014-03-01,29.3,22.6,25.4,15.1,15.1,8.0,7.7,20.0,4.07,98,68,6.699999999999999,83.0,3.7100737100737096
Kab. Tasikmalaya,-7.35,108.25,2014-03-02,29.3,23.1,25.8,5.9,5.9,14.0,6.2,18.06,3.77,97,70,6.199999999999999,83.5,1.5649867374005306
Kab. Tasikmalaya,-7.35,108.25,2014-03-03,30.4,23.0,25.8,33.1,33.1,12.0,5.5,17.65,3.69,97,65,7.399999999999999,81.0,8.97018970189702
Kab. Tasikmalaya,-7.35,108.25,2014-03-04,30.0,23.1,25.9,23.7,23.7,12.0,6.0,16.78,3.51,96,69,6.899999999999999,82.5,6.752136752136752
Kab. Tasikmalaya,-7.35,108.25,2014-03-05,30.2,22.7,24.9,27.6,27.6,13.0,5.4,16.62,3.44,98,70,7.5,84.0,8.023255813953488
Kab. Tasikmalaya,-7.35,108.25,2014-03-06,30.7,22.3,25.7,4.1,4.1,8.0,8.0,23.66,4.83,96,64,8.399999999999999,80.0,0.8488612836438922
Kab. Tasikmalaya,-7.35,108.25,2014-03-07,30.2,22.5,25.7,12.0,12.0,12.0,5.7,19.92,4.08,98,70,7.699999999999999,84.0,2.941176470588235
Kab. Tasikmalaya,-7.35,108.25,2014-03-08,31.6,23.9,26.8,15.5,15.5,18.0,4.8,19.05,4.05,96,63,7.700000000000003,79.5,3.8271604938271606
Kab. Tasikmalaya,-7.35,108.25,2014-03-09,29.1,24.6,26.3,12.2,12.2,19.0,4.9,17.84,3.66,96,76,4.5,86.0,3.333333333333333
Kab. Tasikmalaya,-7.35,108.25,2014-03-10,28.4,23.4,25.5,2.8,2.8,7.0,5.9,17.63,3.58,99,71,5.0,85.0,0.7821229050279329
Kab. Tasikmalaya,-7.35,108.25,2014-03-11,30.7,22.5,25.6,15.5,15.5,9.0,5.4,17.81,3.69,99,67,8.2,83.0,4.200542005420054
Kab. Tasikmalaya,-7.35,108.25,2014-03-12,29.3,22.9,25.3,11.9,11.9,11.0,5.9,16.26,3.33,98,73,6.400000000000002,85.5,3.5735735735735736
Kab. Tasikmalaya,-7.35,108.25,2014-03-13,30.3,22.7,25.0,15.4,15.4,13.0,6.1,14.0,2.93,98,73,7.600000000000001,85.5,5.255972696245734
Kab. Tasikmalaya,-7.35,108.25,2014-03-14,30.8,22.2,25.2,15.7,15.7,6.0,5.4,15.33,3.2,100,67,8.600000000000001,83.5,4.906249999999999
Kab. Tasikmalaya,-7.35,108.25,2014-03-15,30.4,22.7,25.8,20.9,20.9,7.0,5.2,17.66,3.69,99,70,7.699999999999999,84.5,5.663956639566395
Kab. Tasikmalaya,-7.35,108.25,2014-03-16,31.0,22.8,26.2,16.1,16.1,7.0,5.0,17.73,3.69,97,68,8.2,82.5,4.363143631436315
Kab. Tasikmalaya,-7.35,108.25,2014-03-17,31.3,23.7,26.0,23.8,23.8,7.0,5.2,16.86,3.53,98,69,7.600000000000001,83.5,6.742209631728046
Kab. Tasikmalaya,-7.35,108.25,2014-03-18,30.0,23.1,25.9,30.6,30.6,14.0,5.2,17.9,3.72,98,69,6.899999999999999,83.5,8.225806451612904
Kab. Tasikmalaya,-7.35,108.25,2014-03-19,29.5,23.0,25.5,10.4,10.4,8.0,8.4,16.71,3.39,98,75,6.5,86.5,3.0678466076696167
Kab. Tasikmalaya,-7.35,108.25,2014-03-20,28.6,22.5,25.0,8.0,8.0,8.0,8.2,15.25,3.07,98,77,6.100000000000001,87.5,2.6058631921824107
Kab. Tasikmalaya,-7.35,108.25,2014-03-21,30.3,22.4,25.3,12.2,12.2,7.0,7.8,16.24,3.42,96,65,7.900000000000002,80.5,3.567251461988304
Kab. Tasikmalaya,-7.35,108.25,2014-03-22,30.4,23.4,26.4,1.7,1.7,7.0,13.9,18.68,3.89,98,65,7.0,81.5,0.4370179948586118
Kab. Tasikmalaya,-7.35,108.25,2014-03-23,30.5,23.7,26.5,6.6,6.6,9.0,7.3,17.54,3.68,96,67,6.800000000000001,81.5,1.793478260869565
Kab. Tasikmalaya,-7.35,108.25,2014-03-24,31.3,23.4,26.5,18.7,18.7,8.0,7.3,16.88,3.56,96,67,7.900000000000002,81.5,5.252808988764045
Kab. Tasikmalaya,-7.35,108.25,2014-03-25,29.8,24.0,25.9,9.2,9.2,11.0,4.3,12.61,2.69,98,70,5.800000000000001,84.0,3.420074349442379
Kab. Tasikmalaya,-7.35,108.25,2014-03-26,29.3,22.4,25.6,3.6,3.6,10.0,7.9,17.57,3.54,96,78,6.900000000000002,87.0,1.0169491525423728
Kab. Tasikmalaya,-7.35,108.25,2014-03-27,31.5,23.2,26.4,11.3,11.3,10.0,7.6,17.57,3.71,96,67,8.3,81.5,3.045822102425876
Kab. Tasikmalaya,-7.35,108.25,2014-03-28,30.0,23.5,26.2,10.9,10.9,14.0,5.5,16.74,3.51,95,72,6.5,83.5,3.105413105413106
Kab. Tasikmalaya,-7.35,108.25,2014-03-29,31.7,23.0,26.3,8.9,8.9,10.0,5.6,20.14,4.24,97,66,8.7,81.5,2.099056603773585
Kab. Tasikmalaya,-7.35,108.25,2014-03-30,30.9,23.2,26.5,1.2,1.2,5.0,6.6,20.99,4.33,96,67,7.699999999999999,81.5,0.27713625866050806
Kab. Tasikmalaya,-7.35,108.25,2014-03-31,31.2,23.5,26.5,6.6,6.6,8.0,6.2,18.88,3.96,97,68,7.699999999999999,82.5,1.6666666666666665
Kab. Tasikmalaya,-7.35,108.25,2014-04-01,31.0,23.5,26.8,1.9,1.9,7.0,7.9,19.55,4.07,96,67,7.5,81.5,0.46683046683046675
Kab. Tasikmalaya,-7.35,108.25,2014-04-02,31.7,24.5,26.5,11.3,11.3,9.0,5.8,19.32,4.06,96,68,7.199999999999999,82.0,2.783251231527094
Kab. Tasikmalaya,-7.35,108.25,2014-04-03,31.7,23.3,26.8,11.4,11.4,11.0,7.7,18.3,3.84,95,67,8.399999999999999,81.0,2.96875
Kab. Tasikmalaya,-7.35,108.25,2014-04-04,30.9,24.0,26.6,10.7,10.7,9.0,6.4,19.63,4.05,96,67,6.899999999999999,81.5,2.641975308641975
Kab. Tasikmalaya,-7.35,108.25,2014-04-05,30.9,23.1,26.5,7.9,7.9,6.0,7.0,18.69,3.92,97,60,7.799999999999997,78.5,2.0153061224489797
Kab. Tasikmalaya,-7.35,108.25,2014-04-06,31.8,23.6,26.3,8.2,8.2,8.0,4.9,17.68,3.72,96,62,8.2,79.0,2.204301075268817
Kab. Tasikmalaya,-7.35,108.25,2014-04-07,31.1,22.8,25.8,7.9,7.9,6.0,9.5,18.98,3.87,97,69,8.3,83.0,2.041343669250646
Kab. Tasikmalaya,-7.35,108.25,2014-04-08,30.1,23.5,26.2,1.2,1.2,7.0,8.8,18.47,3.8,97,67,6.600000000000001,82.0,0.3157894736842105
Kab. Tasikmalaya,-7.35,108.25,2014-04-09,30.2,23.5,25.9,26.5,26.5,9.0,4.9,14.5,3.05,96,77,6.699999999999999,86.5,8.688524590163935
Kab. Tasikmalaya,-7.35,108.25,2014-04-10,30.8,23.4,25.5,34.3,34.3,15.0,5.2,16.24,3.37,97,71,7.400000000000002,84.0,10.178041543026705
Kab. Tasikmalaya,-7.35,108.25,2014-04-11,29.6,23.4,25.4,17.1,17.1,14.0,7.6,10.71,2.29,96,74,6.200000000000003,85.0,7.467248908296944
Kab. Tasikmalaya,-7.35,108.25,2014-04-12,31.2,23.0,25.6,13.0,13.0,14.0,4.1,16.95,3.53,99,69,8.2,84.0,3.68271954674221
Kab. Tasikmalaya,-7.35,108.25,2014-04-13,28.6,23.4,24.9,33.0,33.0,24.0,5.2,9.07,1.98,97,75,5.200000000000003,86.0,16.666666666666668
Kab. Tasikmalaya,-7.35,108.25,2014-04-14,30.7,22.5,25.2,41.5,41.5,22.0,6.1,14.75,3.1,96,70,8.2,83.0,13.387096774193548
Kab. Tasikmalaya,-7.35,108.25,2014-04-15,30.3,22.8,25.6,31.6,31.6,18.0,5.6,9.03,2.05,97,68,7.5,82.5,15.414634146341465
Kab. Tasikmalaya,-7.35,108.25,2014-04-16,30.9,23.8,25.9,12.5,12.5,12.0,8.1,15.75,3.31,96,65,7.099999999999998,80.5,3.7764350453172204
Kab. Tasikmalaya,-7.35,108.25,2014-04-17,30.8,23.1,25.8,6.1,6.1,9.0,9.9,18.86,3.8,98,66,7.699999999999999,82.0,1.6052631578947367
Kab. Tasikmalaya,-7.35,108.25,2014-04-18,31.0,23.1,26.2,0.9,0.9,4.0,7.6,21.35,4.42,99,60,7.899999999999999,79.5,0.20361990950226244
Kab. Tasikmalaya,-7.35,108.25,2014-04-19,31.2,23.4,26.2,0.4,0.4,2.0,7.2,21.17,4.36,96,57,7.800000000000001,76.5,0.09174311926605505
Kab. Tasikmalaya,-7.35,108.25,2014-04-20,30.5,22.8,26.1,16.6,16.6,11.0,6.4,18.79,3.88,95,65,7.699999999999999,80.0,4.278350515463918
Kab. Tasikmalaya,-7.35,108.25,2014-04-21,31.0,23.8,26.2,19.6,19.6,12.0,6.0,17.45,3.65,96,67,7.199999999999999,81.5,5.36986301369863
Kab. Tasikmalaya,-7.35,108.25,2014-04-22,31.0,23.0,26.0,19.4,19.4,10.0,6.8,15.05,3.16,96,68,8.0,82.0,6.139240506329113
Kab. Tasikmalaya,-7.35,108.25,2014-04-23,31.5,23.0,26.7,6.9,6.9,10.0,4.9,19.23,4.05,97,64,8.5,80.5,1.703703703703704
Kab. Tasikmalaya,-7.35,108.25,2014-04-24,31.1,23.8,26.9,3.2,3.2,6.0,4.5,16.99,3.57,95,65,7.300000000000001,80.0,0.896358543417367
Kab. Tasikmalaya,-7.35,108.25,2014-04-25,31.6,24.6,27.2,9.8,9.8,15.0,3.7,16.44,3.52,94,68,7.0,81.0,2.784090909090909
Kab. Tasikmalaya,-7.35,108.25,2014-04-26,30.3,24.3,26.5,15.7,15.7,9.0,6.1,15.11,3.15,94,72,6.0,83.0,4.984126984126984
Kab. Tasikmalaya,-7.35,108.25,2014-04-27,30.1,23.5,25.8,7.3,7.3,8.0,4.7,12.58,2.67,96,72,6.600000000000001,84.0,2.7340823970037453
Kab. Tasikmalaya,-7.35,108.25,2014-04-28,29.8,23.9,26.0,6.7,6.7,8.0,9.5,14.74,2.99,97,79,5.900000000000002,88.0,2.240802675585284
Kab. Tasikmalaya,-7.35,108.25,2014-04-29,31.5,23.3,27.0,0.0,0.0,0.0,8.9,22.81,4.75,96,59,8.2,77.5,0.0
Kab. Tasikmalaya,-7.35,108.25,2014-04-30,30.8,23.5,27.2,0.9,0.9,6.0,6.6,18.77,3.95,94,63,7.300000000000001,78.5,0.22784810126582278
Kab. Tasikmalaya,-7.35,108.25,2014-05-01,32.4,23.2,26.8,0.9,0.9,5.0,8.4,20.52,4.35,95,56,9.2,75.5,0.20689655172413796
Kab. Tasikmalaya,-7.35,108.25,2014-05-02,31.4,23.0,26.8,3.5,3.5,4.0,7.1,18.49,3.86,97,64,8.399999999999999,80.5,0.9067357512953368
Kab. Tasikmalaya,-7.35,108.25,2014-05-03,30.8,23.9,26.9,0.5,0.5,3.0,10.0,17.16,3.63,96,68,6.900000000000002,82.0,0.13774104683195593
Kab. Tasikmalaya,-7.35,108.25,2014-05-04,30.8,23.6,27.2,0.6,0.6,3.0,9.8,19.22,4.06,97,63,7.199999999999999,80.0,0.1477832512315271
Kab. Tasikmalaya,-7.35,108.25,2014-05-05,31.2,23.9,26.9,8.3,8.3,6.0,5.9,17.95,3.76,96,70,7.300000000000001,83.0,2.2074468085106385
Kab. Tasikmalaya,-7.35,108.25,2014-05-06,32.0,24.2,27.3,4.2,4.2,8.0,6.3,17.55,3.71,96,63,7.800000000000001,79.5,1.1320754716981132
Kab. Tasikmalaya,-7.35,108.25,2014-05-07,32.2,24.3,27.4,2.3,2.3,8.0,7.6,20.36,4.3,96,62,7.900000000000002,79.0,0.5348837209302325
Kab. Tasikmalaya,-7.35,108.25,2014-05-08,31.3,24.1,27.1,4.6,4.6,12.0,5.1,19.03,3.96,95,65,7.199999999999999,80.0,1.1616161616161615
Kab. Tasikmalaya,-7.35,108.25,2014-05-09,31.5,24.4,26.9,5.3,5.3,11.0,7.4,18.31,3.81,96,67,7.100000000000001,81.5,1.3910761154855642
Kab. Tasikmalaya,-7.35,108.25,2014-05-10,31.0,24.9,27.6,0.8,0.8,4.0,7.7,21.23,4.4,96,63,6.100000000000001,79.5,0.18181818181818182
Kab. Tasikmalaya,-7.35,108.25,2014-05-11,30.9,24.8,27.1,3.4,3.4,12.0,5.7,15.71,3.32,96,67,6.099999999999998,81.5,1.0240963855421688
Kab. Tasikmalaya,-7.35,108.25,2014-05-12,29.9,23.0,26.3,1.7,1.7,6.0,7.2,17.36,3.53,95,72,6.899999999999999,83.5,0.48158640226628896
Kab. Tasikmalaya,-7.35,108.25,2014-05-13,30.6,23.1,25.7,10.3,10.3,9.0,8.2,16.34,3.37,98,68,7.5,83.0,3.056379821958457
Kab. Tasikmalaya,-7.35,108.25,2014-05-14,31.7,23.6,26.6,28.4,28.4,15.0,5.1,15.21,3.25,99,66,8.099999999999998,82.5,8.738461538461538
Kab. Tasikmalaya,-7.35,108.25,2014-05-15,30.0,23.7,26.0,8.0,8.0,12.0,7.2,15.13,3.13,96,71,6.300000000000001,83.5,2.5559105431309903
Kab. Tasikmalaya,-7.35,108.25,2014-05-16,29.7,23.5,25.7,10.0,10.0,8.0,6.9,15.01,3.06,96,75,6.199999999999999,85.5,3.2679738562091503
Kab. Tasikmalaya,-7.35,108.25,2014-05-17,29.4,23.1,25.5,14.9,14.9,13.0,7.0,13.33,2.75,97,77,6.299999999999997,87.0,5.418181818181818
Kab. Tasikmalaya,-7.35,108.25,2014-05-18,29.6,23.7,25.7,9.3,9.3,10.0,8.2,13.97,2.92,95,70,5.900000000000002,82.5,3.1849315068493156
Kab. Tasikmalaya,-7.35,108.25,2014-05-19,30.2,22.7,25.7,0.4,0.4,2.0,7.3,20.38,4.1,94,69,7.5,81.5,0.09756097560975611
Kab. Tasikmalaya,-7.35,108.25,2014-05-20,31.0,22.9,25.9,7.0,7.0,9.0,5.8,17.38,3.6,96,67,8.100000000000001,81.5,1.9444444444444444
Kab. Tasikmalaya,-7.35,108.25,2014-05-21,30.4,22.7,25.7,6.7,6.7,5.0,8.2,16.52,3.36,97,74,7.699999999999999,85.5,1.994047619047619
Kab. Tasikmalaya,-7.35,108.25,2014-05-22,30.4,23.5,26.1,4.3,4.3,6.0,8.0,15.78,3.28,98,67,6.899999999999999,82.5,1.3109756097560976
Kab. Tasikmalaya,-7.35,108.25,2014-05-23,30.3,23.0,25.9,6.6,6.6,6.0,6.7,18.35,3.72,97,73,7.300000000000001,85.0,1.7741935483870965
Kab. Tasikmalaya,-7.35,108.25,2014-05-24,30.0,22.9,26.3,1.1,1.1,5.0,7.7,18.07,3.7,96,68,7.100000000000001,82.0,0.2972972972972973
Kab. Tasikmalaya,-7.35,108.25,2014-05-25,30.5,23.6,26.4,8.0,8.0,7.0,7.2,14.78,3.07,97,73,6.899999999999999,85.0,2.6058631921824107
Kab. Tasikmalaya,-7.35,108.25,2014-05-26,30.4,23.8,25.9,1.8,1.8,7.0,7.7,17.72,3.56,98,72,6.599999999999998,85.0,0.5056179775280899
Kab. Tasikmalaya,-7.35,108.25,2014-05-27,30.4,23.3,26.6,3.8,3.8,7.0,10.6,17.45,3.62,98,68,7.099999999999998,83.0,1.0497237569060773
Kab. Tasikmalaya,-7.35,108.25,2014-05-28,30.0,23.7,26.6,4.3,4.3,9.0,7.0,16.48,3.4,98,67,6.300000000000001,82.5,1.2647058823529411
Kab. Tasikmalaya,-7.35,108.25,2014-05-29,30.8,23.6,26.8,2.6,2.6,10.0,6.8,18.41,3.83,96,65,7.199999999999999,80.5,0.6788511749347259
Kab. Tasikmalaya,-7.35,108.25,2014-05-30,30.6,23.6,26.0,6.5,6.5,10.0,8.1,15.47,3.18,96,73,7.0,84.5,2.044025157232704
Kab. Tasikmalaya,-7.35,108.25,2014-05-31,29.0,21.7,25.0,0.0,0.0,0.0,9.0,18.92,3.79,96,64,7.300000000000001,80.0,0.0
Kab. Tasikmalaya,-7.35,108.25,2014-06-01,28.9,21.4,24.6,0.0,0.0,0.0,8.7,18.13,3.61,95,66,7.5,80.5,0.0
Kab. Tasikmalaya,-7.35,108.25,2014-06-02,30.2,21.8,25.5,0.5,0.5,4.0,5.6,17.42,3.57,95,63,8.399999999999999,79.0,0.1400560224089636
Kab. Tasikmalaya,-7.35,108.25,2014-06-03,30.3,22.7,26.2,2.2,2.2,8.0,6.6,18.55,3.79,97,67,7.600000000000001,82.0,0.5804749340369394
Kab. Tasikmalaya,-7.35,108.25,2014-06-04,30.5,23.4,26.5,2.1,2.1,6.0,6.6,17.69,3.6,96,74,7.100000000000001,85.0,0.5833333333333334
Kab. Tasikmalaya,-7.35,108.25,2014-06-05,28.9,24.2,25.9,1.3,1.3,8.0,10.5,16.19,3.23,97,74,4.699999999999999,85.5,0.40247678018575855
