nama_kabupaten,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,temp_range,humidity_mean,drought_index
Kab. Sukabumi,-7.0051,106.9264,2014-01-01,26.1,21.5,23.4,7.5,7.5,17.0,4.8,10.93,2.24,99,78,4.600000000000001,88.5,3.3482142857142856
Kab. Sukabumi,-7.0051,106.9264,2014-01-02,29.6,20.9,24.2,11.3,11.3,5.0,7.8,21.48,4.33,98,69,8.700000000000003,83.5,2.609699769053118
Kab. Sukabumi,-7.0051,106.9264,2014-01-03,29.0,21.5,24.5,5.0,5.0,8.0,6.9,20.81,4.16,98,65,7.5,81.5,1.2019230769230769
Kab. Sukabumi,-7.0051,106.9264,2014-01-04,27.5,22.3,23.9,13.3,13.3,18.0,11.2,12.21,2.47,97,76,5.199999999999999,86.5,5.384615384615384
Kab. Sukabumi,-7.0051,106.9264,2014-01-05,28.1,21.5,23.5,8.3,8.3,17.0,9.6,16.73,3.27,98,79,6.600000000000001,88.5,2.53822629969419
Kab. Sukabumi,-7.0051,106.9264,2014-01-06,26.9,21.0,23.3,1.6,1.6,4.0,9.6,13.61,2.73,98,75,5.899999999999999,86.5,0.5860805860805861
Kab. Sukabumi,-7.0051,106.9264,2014-01-07,28.8,21.0,24.0,2.8,2.8,9.0,10.4,15.25,3.17,98,64,7.800000000000001,81.0,0.8832807570977917
Kab. Sukabumi,-7.0051,106.9264,2014-01-08,26.1,20.5,22.2,42.3,42.3,14.0,4.5,13.25,2.6,99,78,5.600000000000001,88.5,16.269230769230766
Kab. Sukabumi,-7.0051,106.9264,2014-01-09,29.6,21.1,24.5,10.2,10.2,14.0,9.9,18.86,3.85,98,66,8.5,82.0,2.649350649350649
Kab. Sukabumi,-7.0051,106.9264,2014-01-10,28.9,22.3,24.3,8.7,8.7,15.0,9.5,17.41,3.53,97,70,6.599999999999998,83.5,2.4645892351274785
Kab. Sukabumi,-7.0051,106.9264,2014-01-11,29.3,21.0,24.1,12.6,12.6,8.0,6.3,15.56,3.2,99,70,8.3,84.5,3.9374999999999996
Kab. Sukabumi,-7.0051,106.9264,2014-01-12,27.9,21.0,22.8,18.3,18.3,14.0,7.0,12.86,2.56,98,73,6.899999999999999,85.5,7.1484375
Kab. Sukabumi,-7.0051,106.9264,2014-01-13,25.8,21.0,22.7,20.3,20.3,23.0,5.5,4.37,1.01,99,85,4.800000000000001,92.0,20.0990099009901
Kab. Sukabumi,-7.0051,106.9264,2014-01-14,28.0,21.0,23.8,9.1,9.1,11.0,10.7,17.49,3.5,99,71,7.0,85.0,2.6
Kab. Sukabumi,-7.0051,106.9264,2014-01-15,26.1,21.1,22.7,8.8,8.8,16.0,8.1,14.99,2.87,98,82,5.0,90.0,3.0662020905923346
Kab. Sukabumi,-7.0051,106.9264,2014-01-16,26.5,21.1,23.0,12.1,12.1,18.0,10.4,14.65,2.85,99,74,5.399999999999999,86.5,4.245614035087719
Kab. Sukabumi,-7.0051,106.9264,2014-01-17,25.0,20.6,22.8,14.5,14.5,22.0,7.0,10.08,2.04,100,82,4.399999999999999,91.0,7.107843137254902
Kab. Sukabumi,-7.0051,106.9264,2014-01-18,25.1,21.2,22.7,15.9,15.9,15.0,8.1,7.99,1.65,99,85,3.900000000000002,92.0,9.636363636363637
Kab. Sukabumi,-7.0051,106.9264,2014-01-19,25.0,21.0,22.5,4.9,4.9,15.0,9.1,9.14,1.88,98,79,4.0,88.5,2.6063829787234045
Kab. Sukabumi,-7.0051,106.9264,2014-01-20,25.5,20.7,22.8,11.8,11.8,14.0,10.6,14.23,2.76,98,78,4.800000000000001,88.0,4.27536231884058
Kab. Sukabumi,-7.0051,106.9264,2014-01-21,24.0,20.7,22.0,10.9,10.9,19.0,9.8,8.46,1.66,99,86,3.3000000000000007,92.5,6.566265060240965
Kab. Sukabumi,-7.0051,106.9264,2014-01-22,27.1,20.7,23.5,2.3,2.3,13.0,10.8,17.91,3.58,97,67,6.400000000000002,82.0,0.6424581005586592
Kab. Sukabumi,-7.0051,106.9264,2014-01-23,23.7,20.9,21.8,4.5,4.5,17.0,9.1,4.83,1.07,99,81,2.8000000000000007,90.0,4.205607476635514
Kab. Sukabumi,-7.0051,106.9264,2014-01-24,26.3,20.7,22.8,2.1,2.1,7.0,9.2,17.18,3.26,99,74,5.600000000000001,86.5,0.6441717791411044
Kab. Sukabumi,-7.0051,106.9264,2014-01-25,26.8,20.7,23.4,2.5,2.5,10.0,8.6,19.66,3.82,99,68,6.100000000000001,83.5,0.6544502617801048
Kab. Sukabumi,-7.0051,106.9264,2014-01-26,27.5,20.7,24.0,3.3,3.3,9.0,8.4,20.88,4.07,98,73,6.800000000000001,85.5,0.8108108108108107
Kab. Sukabumi,-7.0051,106.9264,2014-01-27,27.1,21.6,23.7,15.4,15.4,6.0,6.7,19.23,3.77,98,70,5.5,84.0,4.084880636604774
Kab. Sukabumi,-7.0051,106.9264,2014-01-28,25.6,22.3,23.5,1.6,1.6,8.0,6.5,12.17,2.43,99,80,3.3000000000000007,89.5,0.6584362139917695
Kab. Sukabumi,-7.0051,106.9264,2014-01-29,25.7,21.4,23.5,0.9,0.9,5.0,9.1,13.98,2.76,98,73,4.300000000000001,85.5,0.3260869565217392
Kab. Sukabumi,-7.0051,106.9264,2014-01-30,27.6,22.4,24.3,2.8,2.8,7.0,8.9,17.57,3.53,96,68,5.200000000000003,82.0,0.7932011331444759
Kab. Sukabumi,-7.0051,106.9264,2014-01-31,26.9,22.2,23.8,6.6,6.6,8.0,9.4,17.51,3.42,99,75,4.699999999999999,87.0,1.9298245614035088
Kab. Sukabumi,-7.0051,106.9264,2014-02-01,27.9,21.2,24.0,2.1,2.1,8.0,12.6,19.6,3.86,99,68,6.699999999999999,83.5,0.5440414507772021
Kab. Sukabumi,-7.0051,106.9264,2014-02-02,26.0,21.8,23.4,6.6,6.6,10.0,9.9,16.42,3.15,98,77,4.199999999999999,87.5,2.0952380952380953
Kab. Sukabumi,-7.0051,106.9264,2014-02-03,27.3,21.1,23.2,11.4,11.4,11.0,10.4,14.9,2.93,98,72,6.199999999999999,85.0,3.8907849829351533
Kab. Sukabumi,-7.0051,106.9264,2014-02-04,26.6,21.4,23.5,5.6,5.6,15.0,8.6,10.77,2.22,99,74,5.200000000000003,86.5,2.522522522522522
Kab. Sukabumi,-7.0051,106.9264,2014-02-05,27.4,21.6,24.0,1.3,1.3,6.0,9.0,15.12,3.0,99,76,5.799999999999997,87.5,0.43333333333333335
Kab. Sukabumi,-7.0051,106.9264,2014-02-06,27.5,22.2,24.1,8.2,8.2,8.0,6.9,16.98,3.39,98,74,5.300000000000001,86.0,2.4188790560471976
Kab. Sukabumi,-7.0051,106.9264,2014-02-07,27.7,21.9,24.0,14.7,14.7,13.0,11.2,14.28,2.88,98,78,5.800000000000001,88.0,5.104166666666667
Kab. Sukabumi,-7.0051,106.9264,2014-02-08,26.8,22.2,23.9,23.9,23.9,24.0,8.1,10.95,2.26,98,80,4.600000000000001,89.0,10.575221238938054
Kab. Sukabumi,-7.0051,106.9264,2014-02-09,27.9,21.4,23.6,13.4,13.4,20.0,10.9,12.82,2.6,100,75,6.5,87.5,5.153846153846154
Kab. Sukabumi,-7.0051,106.9264,2014-02-10,28.1,21.7,24.0,8.9,8.9,11.0,11.0,17.77,3.49,98,73,6.400000000000002,85.5,2.5501432664756445
Kab. Sukabumi,-7.0051,106.9264,2014-02-11,29.1,21.2,24.6,0.3,0.3,1.0,9.5,22.26,4.43,98,66,7.900000000000002,82.0,0.06772009029345373
Kab. Sukabumi,-7.0051,106.9264,2014-02-12,29.5,22.9,25.6,0.2,0.2,2.0,10.1,20.48,4.23,97,62,6.600000000000001,79.5,0.04728132387706856
Kab. Sukabumi,-7.0051,106.9264,2014-02-13,31.0,21.6,25.6,1.0,1.0,5.0,6.3,23.57,4.84,97,58,9.399999999999999,77.5,0.2066115702479339
Kab. Sukabumi,-7.0051,106.9264,2014-02-14,29.2,21.5,25.1,2.2,2.2,10.0,6.8,19.3,3.95,97,63,7.699999999999999,80.0,0.5569620253164557
Kab. Sukabumi,-7.0051,106.9264,2014-02-15,26.9,21.4,23.5,2.6,2.6,9.0,6.9,14.21,2.81,99,74,5.5,86.5,0.9252669039145908
Kab. Sukabumi,-7.0051,106.9264,2014-02-16,29.3,20.9,24.3,0.4,0.4,2.0,9.0,22.81,4.56,98,60,8.400000000000002,79.0,0.08771929824561404
Kab. Sukabumi,-7.0051,106.9264,2014-02-17,29.6,20.9,24.9,0.5,0.5,3.0,5.3,22.35,4.53,97,58,8.700000000000003,77.5,0.11037527593818984
